TILE,TAG_ID,SP,DBH_CM,sort,HEIGHT_M,L_D,Date,"CROWN 
HEIGHT","SCORCH 
HEIGHT",% SCORCH,new growth,NOTES,ERRORS
A-04,7015,PINPAL,36.2,z,10.6,D,4/4/23,na,na,NA,NA,,
A-04,6982,PINPAL,4.3,a,5.5,L,4/12/23,3.2,5.5,100,Y,,
A-04,6985,PINPAL,5.3,a,4.5,L,4/12/23,3.3,4.5,100,Y,,
A-04,6986,PINPAL,5.3,a,5.4,L,4/12/23,2.8,5.4,100,Y,burnt needles,
A-04,6987,PINPAL,5.3,a,4.6,L,4/12/23,2.2,4.6,100,Y,,
A-04,6988,PINPAL,4.3,a,3.7,L,4/12/23,2,3.7,100,Y,,
A-04,6989,PINPAL,8.8,a,8.4,L,4/12/23,1.8,8.4,100,Y,,
A-04,6990,PINPAL,4.4,a,3.3,L,4/12/23,1.6,3.3,100,Y,burnt needles,
A-04,6991,PINPAL,4.3,a,3.5,L,4/12/23,1.5,3.5,100,Y,burnt needles,
A-04,6992,PINPAL,3,a,2.3,L,4/12/23,1.7,2.3,100,Y,burnt needles,
A-04,6995,PINPAL,6.4,a,7.1,L,4/12/23,3.4,7.1,100,Y,burnt needles,
A-04,6996,PINPAL,5.4,a,5.7,L,4/12/23,2.6,5.7,100,Y,,
A-04,6997,PINPAL,3.8,a,3.8,L,4/12/23,3.1,3.8,100,Y,,
A-04,6998,PINPAL,9.8,a,8.4,L,4/12/23,4,8.4,100,Y,,
A-04,6999,PINPAL,4.3,a,4.7,L,4/12/23,2.8,4.7,100,Y,,
A-04,7001,PINPAL,4,a,5,L,4/12/23,4.2,5,100,Y,,
A-04,7002,PINPAL,4.1,a,4.6,L,4/12/23,2.5,4.6,100,Y,burnt needles,
A-04,7010,PINPAL,4.6,a,3.9,L,4/12/23,3.6,3.9,100,Y,,
A-04,7013,PINPAL,3,a,3,L,4/12/23,2.4,3,100,Y,,
A-04,7022,PINPAL,4.1,a,4.1,L,4/12/23,2.6,4.1,100,Y,,
A-04,7025,PINPAL,2.7,a,2.1,L,4/12/23,1.5,2.1,100,Y,burnt needles,
A-04,6993,PINPAL,10.8,y,9,L,4/4/23,3.5,9,100,NA,,
A-04,7003,PINPAL,6.1,a,6.3,L,4/12/23,2,6.3,99,Y,,
A-04,7008,PINPAL,4.1,a,3.7,L,4/12/23,2.4,3.7,99,Y,,
A-04,7009,PINPAL,5.6,a,6.4,L,4/12/23,3,6.4,99,Y,,
A-04,7011,PINPAL,5.1,a,5.2,L,4/12/23,3.3,5.2,99,Y,,
A-04,7019,PINPAL,43.6,z,23.6,L,4/4/23,14.7,19.7,90,NA,,
A-04,7005,PINPAL,9.1,a,9.7,L,4/12/23,3.9,9.7,75,Y,,
A-04,7007,PINPAL,41.1,z,20.4,L,4/4/23,7.3,14.4,50,NA,,
A-04,6978,PINPAL,18.4,y,12.1,L,4/4/23,5.1,11.1,45,NA,,
A-04,6977,PINPAL,40,z,25.5,L,4/4/23,10.8,19,30,NA,,
A-04,7018,PINPAL,44.2,z,24,L,4/4/23,8.9,10.3,10,NA,,
A-05,7275,PINPAL,16.8,y,15.4,L,4/4/23,5.9,5.9,1-5,NA,,
A-05,7216,PINPAL,4.1,a,3.6,L,4/12/23,2.2,3.6,100,Y,,
A-05,7221,PINPAL,5,a,5.4,L,4/12/23,3.7,5.4,100,Y,,
A-05,7231,PINPAL,5.6,a,7.9,L,4/12/23,4,7.9,100,Y,,
A-05,7286,PINPAL,5.9,a,7.8,L,4/12/23,3.5,7.8,100,N,,
A-05,7289,PINPAL,7,a,8.1,L,4/12/23,4.4,8.1,100,N,,
A-05,7290,PINPAL,6.4,a,5.4,L,4/12/23,3.8,5.4,100,Y,,
A-05,7295,PINPAL,5.9,a,7,L,4/12/23,5.5,7,100,Y,,
A-05,7297,PINPAL,3.6,a,4.8,L,4/12/23,4.1,4.8,100,Y,,
A-05,7298,PINPAL,5.7,a,7.6,L,4/12/23,4.9,7.6,100,NA,,
A-05,7450,PINPAL,4.5,a,6,L,4/12/23,3.8,6,100,Y,,
A-05,7453,PINPAL,3.2,a,4,L,4/12/23,1.5,4,100,Y,,
A-05,7454,PINPAL,4.4,a,4,L,4/12/23,3,4,100,Y,,
A-05,7455,PINPAL,5.8,a,7.2,L,4/12/23,3.4,7.2,100,Y,,
A-05,7456,PINPAL,5.5,a,6.7,L,4/12/23,3.4,6.7,100,Y,,
A-05,7457,PINPAL,4,a,4.3,L,4/12/23,4,4.3,100,Y,,
A-05,7458,PINPAL,3.7,a,4.4,L,4/12/23,3.3,4.4,100,Y,,
A-05,7459,PINPAL,7.4,a,8.8,L,4/12/23,4.4,8.8,100,Y,,
A-05,7460,PINPAL,4.5,a,5.5,L,4/12/23,3.7,8.3,100,Y,,
A-05,7468,PINPAL,6.6,a,5.8,L,4/12/23,2.2,5.8,100,Y,,
A-05,7469,PINPAL,3.5,a,2.5,L,4/12/23,2.2,2.5,100,Y,,
A-05,7471,PINPAL,4.8,a,3.7,L,4/12/23,2.2,3.7,100,Y,,
A-05,7473,PINPAL,2.2,a,1.9,L,4/12/23,1.5,1.9,100,Y,,
A-05,7477,PINPAL,7,a,8.7,L,4/12/23,3,8.7,100,Y,,
A-05,7479,PINPAL,8.4,a,9,L,4/12/23,3,9,100,Y,,
A-05,7478,PINPAL,11.4,y,12.5,L,4/5/23,5.5,12.5,100,NA,,
A-05,7214,PINPAL,8,a,8.3,L,4/12/23,3.2,8.3,99,NA,,
A-05,7215,PINPAL,7.2,a,7.6,L,4/12/23,2.5,7.6,99,NA,,
A-05,7292,PINPAL,9.7,a,11.6,L,4/12/23,8.4,11.6,99,NA,,
A-05,7449,PINPAL,6.5,a,9.5,L,4/12/23,5,9.5,99,NA,,
A-05,7452,PINPAL,5.8,a,7.4,L,4/12/23,2.2,7.4,99,Y,,
A-05,7466,PINPAL,5,a,3.4,L,4/12/23,2.7,3.4,99,Y,,
A-05,7476,PINPAL,9.8,a,11.6,L,4/12/23,3,11.6,99,Y,,
A-05,7226,PINPAL,8.3,a,9.8,L,4/12/23,5.8,9.8,95,NA,,
A-05,7256,PINPAL,5.5,a,5.3,L,4/12/23,3.7,5.3,95,Y,,
A-05,7274,PINPAL,5,a,6.2,L,4/12/23,3,6.2,95,Y,,"field data sheet % scorch says 9.5, believed to be a misrecord"
A-05,7299,PINPAL,9.6,a,11.6,L,4/12/23,5.3,11.4,95,NA,,
A-05,7467,PINPAL,7.9,a,6.5,L,4/12/23,4.4,6.5,95,Y,,
A-05,7472,PINPAL,8.9,a,12,L,4/12/23,3.2,12,95,Y,,
A-05,7222,PINPAL,12.5,y,13.2,L,4/4/23,4.9,13.2,95,NA,,
A-05,7223,PINPAL,19.3,y,17.2,L,4/4/23,5.7,17.2,95,NA,,
A-05,7451,PINPAL,10.5,y,9.9,L,4/4/23,3.9,10.2,95,NA,,
A-05,7474,PINPAL,13.9,y,11.6,L,4/5/23,5.3,11.5,95,NA,,
A-05,7273,PINPAL,4.1,a,4.6,L,4/12/23,2.6,4.6,90,Y,,
A-05,7282,PINPAL,5.3,a,6.4,L,4/12/23,4,6.4,90,Y,,
A-05,7284,PINPAL,7.5,a,9.6,L,4/12/23,3.3,9.6,90,NA,,
A-05,7465,PINPAL,8.5,a,5,L,4/12/23,3.1,5,90,NA,,
A-05,7293,PINPAL,13.5,y,13.8,L,4/5/23,11.1,13.8,90,NA,,
A-05,7296,PINPAL,10.4,y,12.7,L,4/4/23,6.2,11.5,90,NA,,
A-05,7300,PINPAL,12.3,y,12.6,L,4/5/23,8.6,12.7,85,NA,,
A-05,7229,PINPAL,10.9,y,12.4,L,4/5/23,6.2,12.4,80,NA,,
A-05,7230,PINPAL,11.8,y,14.4,L,4/5/23,8.4,14.4,80,NA,,
A-05,7217,PINPAL,46.3,z,22,L,4/4/23,5.9,19.3,80,NA,,
A-05,7461,PINPAL,10.2,y,11.7,L,4/5/23,10.6,10.5,75,NA,,
A-05,7224,PINPAL,20,z,14.7,L,4/4/23,6.5,14.4,75,NA,,
A-05,7291,PINPAL,10.6,y,12.7,L,4/5/23,8.1,12.5,50,NA,,
A-05,7470,PINPAL,16.4,y,14.3,L,4/5/23,4.8,14.3,50,NA,,
A-05,7481,PINPAL,3.5,a,2.5,L,4/12/23,0.8,2.2,45,Y,,
A-05,7241,PINPAL,6.7,a,10.4,L,4/12/23,2.7,10.4,30,Y,,
A-05,7238,PINPAL,8.6,a,9.8,L,4/12/23,3.5,9.1,25,NA,,
A-05,7462,PINPAL,9.7,a,11.1,L,4/12/23,2.4,7.6,25,NA,,
A-05,7232,PINPAL,16.2,y,16.3,L,4/5/23,11.2,14.7,25,NA,,
A-05,7228,PINPAL,17.5,y,16.2,L,4/4/23,7.3,12.7,20,NA,,
A-05,7227,PINPAL,14.7,y,16,L,4/4/23,8.2,10.2,15,NA,,
A-05,7265,PINPAL,12.7,y,13,L,4/5/23,3.8,5.1,15,NA,,
A-05,7233,PINPAL,11.8,y,11.6,L,4/5/23,7,6.9,5,NA,,
A-05,7285,PINPAL,13.9,y,15.1,L,4/5/23,10.5,11.3,5,NA,,
A-05,7463,PINPAL,15.2,y,13.6,L,4/5/23,5.8,5.1,5,NA,,
A-05,7240,PINPAL,26.1,z,15.5,L,4/4/23,5.6,6.2,5,NA,,
A-05,7464,PINPAL,10.2,y,11.6,L,4/5/23,7.4,6.4,1,NA,,
A-05,7255,PINPAL,11,y,11.1,L,4/5/23,7,NA,0,NA,,
A-05,7257,PINPAL,21.2,z,14.7,L,4/4/23,5.7,14.7,0,NA,,
A-06,7625,PINPAL,12,y,13.3,L,4/4/23,5.2,5.4,1-5,NA,,
A-06,7631,PINPAL,15.2,y,13.3,L,4/4/23,4.5,6.8,1-5,NA,,
A-06,7612,PINPAL,37,z,17.6,L,4/4/23,7.2,8,1-5,NA,,
A-06,7574,PINPAL,2.8,a,3,L,4/12/23,2,3,100,Y,new height,
A-06,7575,PINPAL,2.3,a,2.2,L,4/12/23,1.2,2.2,100,Y,,
A-06,7632,PINPAL,2.7,a,2.3,L,4/12/23,2.2,2.3,100,Y,,
A-06,7565,PINPAL,14.5,y,10.7,L,4/4/23,2.2,10.7,90,NA,,
A-06,7660,PINPAL,6.3,a,8.2,L,4/12/23,3,6.9,70,NA,,
A-06,7630,PINPAL,5,a,5,L,4/12/23,2.9,6.6,60,Y,new height of 7.3,
A-06,7626,PINPAL,7.9,a,9.5,L,4/12/23,3.2,5.5,10,NA,,
A-06,7627,PINPAL,16.3,y,13.7,L,4/4/23,4,7.2,10,NA,,
A-06,7655,PINPAL,16,y,13.5,L,4/4/23,5.6,7.3,10,NA,,
A-06,7662,PINPAL,22,z,16,L,4/4/23,8.5,12,10,NA,,
A-06,7494,PINPAL,14.9,y,15.3,L,4/4/23,7.2,7.3,1,NA,,
A-06,7641,PINPAL,6,a,7.8,L,4/12/23,5.3,NA,0,NA,,
B-04,4281,PINPAL,34.6,z,9,D,4/4/23,NA,NA,NA,NA,,
B-04,4271,PINPAL,4.8,a,4.4,L,4/12/23,2.2,4.4,100,Y,burnt needles,
B-04,4272,PINPAL,2.8,a,2.5,L,4/12/23,2.8,2.5,100,Y,burnt needles,
B-04,4273,PINPAL,3.8,a,3.5,L,4/12/23,2.1,3.5,100,Y,burnt needles,
B-04,4274,PINPAL,3.2,a,3.2,L,4/12/23,1.6,3.2,100,Y,,
B-04,4275,PINPAL,1.6,a,1.5,L,4/12/23,1.2,1.5,100,Y,burnt needles,
B-04,4270,PINPAL,6.7,a,6.7,L,4/12/23,2.6,6.7,99,Y,,
B-04,4268,PINPAL,50,z,24.6,L,4/4/23,9,25.5,95,NA,,
B-04,4264,PINPAL,45.2,z,25,L,4/4/23,12.4,25,90,NA,,
B-04,4276,PINPAL,33.5,z,22,L,4/4/23,10.2,22,90,NA,no tag,
B-04,4284,PINPAL,28.9,z,20,L,4/4/23,12.5,20,60,NA,,
B-04,4286,PINPAL,49.1,z,22.4,L,4/4/23,7.6,19.6,50,NA,,
B-04,4263,PINPAL,35.6,z,23.1,L,4/4/23,6.4,14.4,25,NA,,
B-04,4280,PINPAL,49.5,z,25.7,L,4/4/23,10.1,19.4,15,NA,melted tag,
B-04,4288,PINPAL,34.7,z,20.2,L,4/4/23,9,11.8,5,NA,,
B-05,4305,PINPAL,12.2,y,12.4,L,4/4/23,4.4,6.6,1-5,NA,,
B-05,4311,PINPAL,2.5,a,1.9,L,4/12/23,0.9,1.9,100,Y,burnt needles,
B-05,4315,PINPAL,51.6,z,20,L,4/4/23,5.7,18,85,NA,no tag,
B-05,4316,PINPAL,49.9,z,23.9,L,4/4/23,10.5,22.6,70,NA,no tag,
B-05,4314,PINPAL,43.2,z,22,L,4/4/23,9,17.4,55,NA,,
B-05,4294,PINPAL,50.6,z,20.3,L,4/4/23,6.8,17.3,45,NA,no tag,
B-05,4312,PINPAL,49.2,z,22.2,L,4/4/23,5.9,15.7,35,NA,no tag,
B-05,4293,PINPAL,47.7,z,25,L,4/4/23,5.7,15.6,5,NA,,
B-06,4951,PINPAL,2.3,a,2,L,4/12/23,1.2,2,100,Y,burnt needles,
B-06,6065,PINPAL,3,a,2.4,L,4/12/23,1.2,2.4,100,Y,burnt needles,
B-06,6082,PINPAL,3.4,a,1.8,L,4/12/23,1.3,1.8,100,Y,burnt needles,
B-06,6083,PINPAL,2.4,a,2.1,L,4/12/23,0.8,2.1,100,Y,burnt needles,
B-06,6100,PINPAL,2.8,a,2.3,L,4/12/23,0.8,2.3,100,Y,burnt needles,
B-06,4950,PINPAL,3.3,a,2.5,L,4/12/23,1.2,2.3,99,Y,burnt needles,
B-06,6056,PINPAL,2.9,a,2.4,L,4/12/23,1.4,2.4,99,Y,,
B-06,6064,PINPAL,2.8,a,1.8,L,4/12/23,1,1.8,99,Y,burnt needles,
B-06,6066,PINPAL,2.9,a,2.1,L,4/12/23,0.7,2.1,99,Y,burnt needles,
B-06,6067,PINPAL,2.9,a,2.1,L,4/12/23,1.3,2.1,99,Y,burnt needles,
B-06,6084,PINPAL,2.6,a,1.4,L,4/12/23,1,1.4,99,Y,burnt needles,
B-06,6088,PINPAL,2.9,a,2.5,L,4/12/23,1.6,2.5,99,Y,,
B-06,6090,PINPAL,3,a,2.4,L,4/12/23,1.2,2.4,99,Y,burnt needles,
B-06,6093,PINPAL,2,a,1.9,L,4/12/23,0.9,1.9,99,Y,burnt needles,
B-06,6094,PINPAL,2.1,a,1.8,L,4/12/23,0.5,1.8,99,Y,burnt needles,
B-06,6095,PINPAL,2.3,a,1.6,L,4/12/23,1.1,1.6,99,Y,burnt needles,
B-06,6096,PINPAL,2.2,a,1.9,L,4/12/23,1.1,1.9,99,Y,burnt needles,
B-06,6097,PINPAL,2,a,1.7,L,4/12/23,1.1,1.7,99,Y,burnt needles,
B-06,6099,PINPAL,2.3,a,2.1,L,4/12/23,1.1,2.1,99,Y,burnt needles,
B-06,6055,PINPAL,4.7,a,3.6,L,4/12/23,1.1,3.6,95,Y,burnt needles,
B-06,6060,PINPAL,3.1,a,2.2,L,4/12/23,1.1,2.2,95,Y,,
B-06,6085,PINPAL,2.3,a,1.9,L,4/12/23,1.2,1.9,95,NA,,
B-06,6086,PINPAL,2,a,1.7,L,4/12/23,0.6,1.7,95,Y,burnt needles,
B-06,6087,PINPAL,2,a,1.8,L,4/12/23,0.6,1.8,95,Y,burnt needles,
B-06,6091,PINPAL,2.8,a,2.4,L,4/12/23,0.8,2.4,95,Y,,
B-06,6098,PINPAL,3.7,a,2.8,L,4/12/23,1.3,2.8,95,Y,burnt needles,
B-06,6089,PINPAL,1.8,a,1.6,L,4/12/23,0.8,1.6,90,Y,burnt needles,
B-06,4960,PINPAL,41.7,z,21.5,L,4/4/23,6.2,15.3,30,NA,no tag,
B-06,6061,PINPAL,49.2,z,22.2,L,4/4/23,7.6,15.2,30,NA,,
B-06,4959,PINPAL,44.9,z,21.2,L,4/4/23,8.6,20.2,5,NA,,
B-07,4982,PINPAL,6.4,a,6.3,L,4/13/23,2.7,6.3,100,N,,
B-07,4983,PINPAL,3.6,a,2.7,L,4/13/23,1.4,2.7,100,Y,burnt needles,
B-07,4984,PINPAL,6,a,4,L,4/13/23,3.2,4,100,Y,,
B-07,4992,PINPAL,1.9,a,1.8,L,4/13/23,1,1.8,100,Y,burnt needles,
B-07,6106,PINPAL,2.1,a,1.8,L,4/13/23,1,1.8,100,Y,burnt needles,
B-07,6108,PINPAL,3.4,a,2.2,L,4/13/23,0.8,2.2,100,Y,burnt needles,
B-07,4985,PINPAL,5.6,a,4.8,L,4/13/23,2.1,4.8,99,Y,burnt needles,
B-07,4991,PINPAL,8.1,a,6.5,L,4/13/23,2.2,6.5,99,Y,,
B-07,6104,PINPAL,2.2,a,1.8,L,4/13/23,1.4,1.8,99,Y,burnt needles,
B-07,6105,PINPAL,2,a,1.5,L,4/13/23,0.9,1.5,99,Y,burnt needles,
B-07,4987,PINPAL,20.2,z,11.5,L,4/4/23,3.6,11.5,85,NA,,
B-07,4994,PINPAL,34,z,19.9,L,4/4/23,8.5,11,10,NA,,
B-07,4988,PINPAL,25.4,z,15.1,L,4/4/23,8.1,NA,0,NA,,
C-04,11005,PINPAL,2.4,a,1.9,L,4/12/23,1.5,1.9,100,Y,burnt needles,
C-04,11006,PINPAL,6.5,a,6.7,L,4/12/23,2.7,6.7,100,Y,,
C-04,11007,PINPAL,2.6,a,1.9,L,4/12/23,1.4,1.9,100,Y,burnt needles,
C-04,11014,PINPAL,5.8,a,5.9,L,4/12/23,2.3,5.9,100,Y,,
C-04,11015,PINPAL,5.8,a,4.9,L,4/12/23,3,4.9,100,Y,burnt needles,
C-04,11016,PINPAL,5.3,a,5,L,4/12/23,3.5,5,100,Y,,
C-04,11019,PINPAL,3.3,a,2.2,L,4/12/23,2.2,2.2,100,Y,burnt needles,
C-04,11020,PINPAL,3.1,a,1.7,L,4/12/23,1.5,1.7,100,Y,burnt needles,
C-04,11034,PINPAL,3.3,a,2.7,L,4/12/23,2,2.7,100,Y,burnt needles,
C-04,11040,PINPAL,4.5,a,4.1,L,4/12/23,2.6,4.1,100,Y,,
C-04,11041,PINPAL,3.5,a,2.5,L,4/12/23,2.2,2.5,100,Y,burnt needles,
C-04,11055,PINPAL,2.9,a,2.6,L,4/12/23,2,2.6,100,Y,,
C-04,11057,PINPAL,3,a,1.6,L,4/12/23,1.4,1.6,100,Y,burnt needles,
C-04,11008,PINPAL,5.5,a,6.1,L,4/12/23,3.1,6.1,99,Y,,
C-04,11009,PINPAL,7.2,a,7.6,L,4/12/23,2.7,7.6,99,Y,,
C-04,11030,PINPAL,3.2,a,2.4,L,4/12/23,1.2,2.4,99,Y,burnt needles,
C-04,11032,PINPAL,3.3,a,3.8,L,4/12/23,2.4,3.8,99,Y,,
C-04,11035,PINPAL,3.6,a,3.7,L,4/12/23,2.2,3.2,99,Y,,
C-04,11036,PINPAL,4.8,a,5.2,L,4/12/23,2.8,5.2,99,Y,,
C-04,11038,PINPAL,4.3,a,3.2,L,4/12/23,2,3.2,99,Y,,
C-04,11061,PINPAL,5.4,a,5.3,L,4/12/23,3,5.3,99,Y,,
C-04,11062,PINPAL,5.4,a,5.3,L,4/12/23,2.8,5.3,99,Y,,
C-04,11017,PINPAL,5.5,a,5.2,L,4/12/23,3.1,5.2,95,Y,,
C-04,11031,PINPAL,5,a,5.5,L,4/12/23,3.7,5.5,95,Y,,
C-04,11039,PINPAL,2.5,a,1.7,L,4/12/23,1.5,1.7,95,Y,,
C-04,11046,PINPAL,5.5,a,5.4,L,4/12/23,2.3,5.4,95,Y,,
C-04,11050,PINPAL,3.1,a,4.2,L,4/12/23,2.2,4.2,95,Y,,
C-04,11052,PINPAL,6.8,a,6.8,L,4/12/23,3,6.8,95,Y,,
C-04,11059,PINPAL,4.5,a,4.5,L,4/12/23,2.4,4.5,95,Y,,
C-04,11077,PINPAL,5.7,a,6.1,L,4/12/23,3.4,6.1,95,NA,,
C-04,11029,PINPAL,42.8,z,18.4,L,4/4/23,5.8,19.4,95,NA,,
C-04,11012,PINPAL,5.2,a,5.4,L,4/12/23,2.6,5.4,90,Y,,
C-04,11013,PINPAL,6.6,a,6.4,L,4/12/23,3.6,6.4,90,Y,,
C-04,11018,PINPAL,5.2,a,4.6,L,4/12/23,2.2,4.6,90,Y,,
C-04,11056,PINPAL,6.5,a,6.9,L,4/12/23,2.9,6.9,90,Y,,
C-04,11073,PINPAL,3.4,a,3.9,L,4/12/23,3.1,3.9,85,Y,,
C-04,11021,PINPAL,5.2,a,5.8,L,4/12/23,3.3,5.8,75,Y,,
C-04,11074,PINPAL,6.5,a,6,L,4/12/23,3,5.7,55,Y,,
C-04,11068,PINPAL,12.6,y,10.4,L,4/4/23,4.3,8.8,50,NA,,
C-04,11076,PINPAL,11.3,y,10.2,L,4/4/23,5.8,7.6,50,NA,,
C-04,11072,PINPAL,6,a,6.4,L,4/12/23,3,4.8,40,Y,,
C-04,11022,PINPAL,50.2,z,20.9,L,4/4/23,9.2,17.6,10,NA,,
C-05,13067,PINPAL,2.8,a,3.5,L,4/12/23,2.4,3.5,100,Y,,
C-05,13068,PINPAL,3.9,a,5.4,L,4/12/23,3.3,5.4,100,Y,,
C-05,13075,PINPAL,3,a,2.2,L,4/12/23,2,2.2,100,Y,,
C-05,13080,PINPAL,2.4,a,2,L,4/12/23,1.4,2,100,Y,burnt needles,
C-05,13085,PINPAL,2.4,a,2.3,L,4/12/23,1.8,2.3,100,Y,,
C-05,13092,PINPAL,2.6,a,3.6,L,4/12/23,2.4,3.6,100,Y,,
C-05,13171,PINPAL,3.6,a,4.3,L,4/12/23,3.8,4.3,100,Y,,
C-05,13065,PINPAL,5.9,a,6.9,L,4/12/23,1.6,6.9,99,Y,,
C-05,13069,PINPAL,3,a,2.1,L,4/12/23,1,2.1,99,Y,,
C-05,13073,PINPAL,3.6,a,5.9,L,4/12/23,2,5.9,99,Y,,
C-05,13077,PINPAL,4,a,3.9,L,4/12/23,2.4,3.9,99,Y,,
C-05,13127,PINPAL,7.9,a,7.3,L,4/12/23,2.8,7.3,99,Y,,
C-05,13166,PINPAL,4.5,a,5.3,L,4/12/23,2.7,5.3,99,Y,,
C-05,13167,PINPAL,6.1,a,7.4,L,4/12/23,2.9,7.4,99,Y,,
C-05,13170,PINPAL,6.7,a,7.1,L,4/12/23,3.3,7.1,99,NA,,
C-05,13066,PINPAL,5.3,a,5.7,L,4/12/23,3,5.7,95,Y,,
C-05,13125,PINPAL,7.8,a,7,L,4/12/23,2.6,7,95,Y,,
C-05,13163,PINPAL,3.8,a,4.6,L,4/12/23,2.4,4.6,95,Y,,
C-05,13164,PINPAL,6.4,a,6.9,L,4/12/23,2.9,6.9,95,Y,,
C-05,13076,PINPAL,5.2,a,5.5,L,4/12/23,2.3,5.5,90,NA,,
C-05,13096,PINPAL,2.4,a,3.1,L,4/12/23,2.3,3.1,90,N,,
C-05,13126,PINPAL,7.2,a,9,L,4/12/23,3.8,9,90,Y,,
C-05,13087,PINPAL,4,a,5.1,L,4/12/23,2,5.1,85,Y,,
C-05,13093,PINPAL,5,a,4.7,L,4/12/23,2.3,4.7,80,Y,,
C-05,13088,PINPAL,3.6,a,5.2,L,4/12/23,2.8,4,65,NA,,
C-05,13095,PINPAL,4.7,a,5.8,L,4/12/23,2.6,5.8,65,Y,,
C-05,13101,PINPAL,2.1,a,3.1,L,4/12/23,2.2,3.1,60,NA,,
C-05,13106,PINPAL,8,a,7.2,L,4/12/23,2.8,7,50,Y,,
C-05,13100,PINPAL,9.9,a,10.5,L,4/12/23,4.1,7.8,30,Y,,
C-05,13090,PINPAL,8.5,a,8.5,L,4/12/23,3.5,5,20,NA,,
C-05,13091,PINPAL,5.8,a,7.2,L,4/12/23,4,7.2,20,Y,,
C-05,13107,PINPAL,49.9,z,20.6,L,NA,7.4,15.8,20,NA,,
C-05,13086,PINPAL,7,a,8.2,L,4/12/23,4.3,8.2,10,NA,,
C-05,13089,PINPAL,5.5,a,7.7,L,4/12/23,4.6,4.9,10,NA,,
